"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
39.63	12.13	41.52	37.05	51.98	-9.76	-23	-44.05	71.48	-5.24	6.59	42.09	47.99	38.24	89.78	62.17	48.54	-3.62	12.22	4.81	-35.59	23.73	-5.29	12.79	4.35	35.66	45.33	6.61	30.64	35.75	15.78	25.45
27.52	23.09	38.58	64.79	64.19	23.13	12.8	8.28	69.52	35.83	6.17	70.86	8.95	52.78	60.93	59.59	38.04	8.48	23.84	9.97	42.77	24.84	12.83	39.76	32.79	54.13	33.66	24.82	44.67	49.2	40.55	40.54
10.85	63.26	40.68	58.94	72.76	15.85	15.71	-13.56	71.94	4.98	2.27	89.43	18.6	53.27	62.13	108.36	9.34	-4.68	47.11	-1.31	6.73	45.64	30.41	28.63	20.15	60.25	30.29	5.79	43.17	59.08	25.29	30.05
26.85	18.73	28.64	62.14	37.98	14.77	-10.28	-22.49	55.97	29.1	1.91	55	1.74	30.64	39.07	51.1	26.67	-8.87	5.62	4.44	-2.79	14.89	17.52	12.21	18.18	22.62	51.32	23.82	38.01	29.76	24.33	34.2
35.9	26.24	29.03	66.26	51.69	8.02	18.33	22.82	68.13	13.51	18.93	68.53	13.67	62.69	67.32	40.8	26.61	26.61	35.65	35.23	18.5	29.57	16.45	24.82	27.87	40.38	43.34	2.38	39.18	19.42	24.5	41.9
27.23	31.66	33.42	50.55	55.17	19.17	-4.25	-2.93	47.92	11.15	0.68	47.46	19.52	16.46	51.42	65.7	20.81	21.02	61.11	14.45	5.43	17.77	18.46	5.59	27.06	28.54	22.05	12.79	35.54	28.61	56.68	15.62
13.8	-12.61	27.45	80.36	44.73	11.07	-23.19	-7.4	80.96	-3.4	1.68	50.74	16.85	8.92	60.35	98.11	29.95	-26.79	26.2	-11.52	-9.8	8.61	3.42	1.27	22.06	15.13	37.74	21.38	33.29	37.21	33.25	18.14
17.04	19.72	25.11	56.66	37.16	21.39	4.97	-8.53	43.79	21.6	26.61	61.02	20.37	20.56	71.58	46.2	54.4	3.34	18.16	27.25	14.02	14.05	14.33	24.69	-2.27	24.28	21	17.76	47.92	27.15	20.61	42.98
60.57	37.61	38.23	68.45	65.05	19.23	-1.37	-2.21	83.31	32.07	14.37	77.42	25.85	54.75	69.62	102.41	39.58	26.42	49.1	2.89	10.27	-12.5	34.94	16.64	25.52	7.64	43.89	31.65	38.17	35.52	44.28	80.24
42.41	11.18	40.89	90.43	42.78	58.42	14.22	2.38	106.48	29.28	18.4	85.25	12.54	44.7	69.23	91.88	39.93	37.39	45.74	15.79	3.43	22.68	28.95	35.29	33.13	54.86	53.43	18.7	69.94	51.27	45.6	37.67
24.23	17.65	-4.74	90.08	80.6	11.3	-10.93	-21.92	70.43	13.04	29.24	72.87	-10.9	41.01	83.67	69.47	7.23	1.18	39.12	-12.15	-34.49	4.36	35.05	7.79	11.48	22.83	17.11	19.29	-7.3	45.02	26.48	27.17
43.59	36.21	35.53	68.64	75.05	27.58	-4.14	5.26	54.77	47.23	23.46	80.04	21.41	58.61	77.07	73.12	66.37	19.75	43.54	19.41	22.99	9.43	37.82	23.87	19.5	44.77	50.61	40.57	44.86	50.7	32.18	63.56
25.81	29.73	45.19	45.47	38.57	30.61	21.42	-4.35	69.53	18.11	34.92	68.87	25.46	55.45	68.52	55.64	45.53	-1.63	24.72	26.2	16.94	14.01	26.53	33.81	46.15	33.02	40.62	9.13	21.89	63.75	46.81	51.03
