"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
49.13	43.79	35.72	47.01	25.46	34.24	17.34	42.09	49.45	36.32	36.1	43.96	31.04	35.94	26.48	19.01	34.08	31.38	38.07	43.58	36.88	42.17
28.99	41.71	49	28.02	31.14	32.42	25.79	45	28.31	46.54	64.74	10.68	30	13.83	40.9	27.29	-0.88	8.59	54.43	62.01	19.1	23.08
27.49	52.65	17.91	39.72	18.82	9.63	13.6	27.59	26.46	29.62	26.42	23.28	-2.64	15.77	17.74	20.43	25.43	0	51.85	43.89	10.71	37.4
54.29	49.89	33.49	27.74	42.7	24.39	30.97	16.7	16.97	22.29	31.72	30.35	7.32	38.06	31.38	37.31	13.96	21.3	40.95	53.22	34.73	16.79
43.31	26.12	29.07	23.7	32.23	15.56	9	13.42	34.05	16.07	34.44	7.69	26.14	15.2	39.2	31.3	20.51	-5.35	50.88	37.86	27.64	37.49
33.61	36.45	36.59	36.74	40.46	24.13	29.65	30.43	31.35	35.1	33.87	29.45	20.8	32.19	25.91	19.62	27.05	31.85	32.14	46.99	18.76	27.44
52.29	48.78	25.22	35.58	37.81	23.82	24.92	30.22	28.72	54.84	24.71	25.42	11.61	24.74	26.66	31.69	7.58	7.61	34.37	58.79	43.26	32.89
63.21	40.96	37.48	37.8	33.48	34.53	29.95	39.01	33.05	35.12	41.45	23.91	31.34	24.95	38.4	29.29	19.76	31.83	36.77	49.02	59.56	33.58
42.93	56.41	42.67	33.27	34.29	32.23	19.8	48.2	37.16	38.89	46.84	24.46	18.25	37.67	27.62	18.43	14.37	23.61	45.07	48.06	33.52	40.29
38.52	44.12	26.27	33.53	33.06	28.03	22.14	31.75	54.98	34.33	41.73	15.89	30.32	26.15	42.8	11.02	18.69	16.64	38.43	41.58	28.1	41.91
21.93	29.41	20.55	26.22	18.67	26.59	19.86	-0.98	18.94	-0.36	23.87	6.97	37.7	24.63	22.63	13.82	11.18	7.17	48.83	32.87	34.02	19.87
26.84	45.75	19.63	23.03	10.42	-3.73	12.6	-5.1	14.2	37.99	21.93	6.16	-5.92	10.29	3	13.08	2.24	-1.14	15.03	24.22	-6.38	20.16
