"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
19.31	3.95	13.9	9.62
19.77	4.05	14.26	9.45
19.29	3.81	13.94	9.52
19.56	4.01	14.42	9.26
19.51	3.59	14.19	9.04
19.27	4	13.9	9.48
20.21	4.42	14.7	10.34
19.57	3.68	14.17	9.71
19.5	3.51	14.08	9.36
20.15	4.1	14.18	9.84
19.45	3.76	13.75	8.89
19.97	5.13	14.85	10
19.84	3.77	14.6	9.18
19.34	3.38	13.95	9.09
19.61	4.41	14.69	10.03
19.38	3.72	14.69	9.42
19.76	3.97	14.1	9.32
19.54	3.84	14.14	9.44
19.89	4.3	14.77	9.57
19.56	4.23	14.46	9.5
19.58	4.16	14.32	9.62
20.25	3.91	14.64	9.68
19.83	4.08	14.41	9.61
20.94	4.28	15.23	10.08
19.53	3.66	13.44	9.82
19.52	3.57	13.99	9.95
20	4	14.14	9.46
19.47	4.1	14.13	9.2
19.25	3.57	14.25	9.94
19.29	3.67	13.82	9.2
18.88	3.15	13.62	9.2
19.19	4.34	13.74	9.43
18.8	3.79	13.64	9.4
19.25	3.93	13.79	9.57
19.12	3.86	14.47	9.15
19.28	3.84	14.49	9.96
19.09	3.97	14.03	9.11
18.27	3.42	13.9	8.75
18.98	3.62	14.06	9.17
20.03	4.38	14.67	9.82
20.1	3.96	14.03	9.5
20.23	4.49	15.09	10.09
20.27	4.71	14.49	10.25
19.62	4.04	14.13	9.38
19.14	3.4	14.37	8.74
19.61	4.03	15.02	8.63
19.27	3.64	13.95	8.96
18.72	3.39	14.16	9.67
19.19	3.77	14.34	9.25
20.14	5.07	14.73	9.71
19.4	4.12	14.81	9.64
19.94	4.11	14.72	9.81
20.24	3.97	14.65	9.49
19.19	3.23	14.22	9.24
19.25	4.61	14.42	9.26
19.12	4.17	14.71	9.53
19.2	3.97	14.41	9.31
19.84	4.13	15.34	9.91
19.42	3.91	15.2	9.78
19.61	4.54	15.28	9.62
19.51	4.13	15.31	10.05
19.53	4.43	15.1	10.57
19.51	4.29	14.74	10.09
19.31	4.24	14.96	10.68
18.03	3.67	14.75	9.74
19.22	4.44	15.39	9.07
19.25	4.86	15.78	10.35
19.72	4.18	14.8	9.59
19.46	3.92	15.67	10.18
19.96	3.73	15.44	9.77
19.57	3.81	15.9	9.97
19.73	4.86	15.91	9.93
19.92	4.79	16.24	10.7
20.91	4.82	17.06	10.97
20.39	5.01	16.07	10.84
20.96	4.7	16.99	10.97
20.44	4.42	16.05	10.32
19.61	4.45	16.59	10.78
20.1	4.65	16.31	10.77
20.25	4.2	17.3	10.9
19.96	4.6	16.74	10.55
20.12	5.07	17.63	11.02
20.64	5.13	17.09	11.38
20.37	5.53	17.62	10.92
20.84	5.12	17.34	11.78
20.44	4.71	17.79	11.47
20.27	4.55	17.21	10.88
20.72	5.05	17.74	11.66
20.67	5.24	18.2	11.61
21.15	5.09	18.17	11.83
21.05	5.29	18.83	12.37
20.8	4.99	17.93	11.48
22.08	6.09	19.58	12.38
22.81	5.54	20.08	12.07
22.58	5.99	20.65	12.93
22.96	5.87	20.16	12.29
22.29	6.3	20.3	12.75
23.37	6	20.98	13.34
22.37	6.4	20.73	13.41
22.78	5.8	21.1	12.94
23.28	5.97	21.35	13.48
23.36	6.74	21.98	14.18
22.56	6.14	21.85	13.67
23.36	6.68	22.26	14.41
24.25	6.61	21.8	14.34
23.94	6.74	22.31	14.27
24.93	7.03	23.37	14.79
24.54	7.35	23.07	14.9
25.34	7.12	23.72	15.24
24.7	7.85	23.55	15.06
25.54	7.68	23.8	15.39
25.37	7.75	24.27	15.6
25.56	8.58	24.78	15.6
26.31	8.45	25.18	16.61
25.58	7.95	25.01	15.86
26.17	8.61	25.1	16.49
25.95	8.46	25.45	16.79
26.66	9.3	25.54	17.26
26.87	9.1	25.94	17.36
26.87	8.98	26.65	16.91
27.09	9.77	26.4	17.63
27.05	9.14	26.5	17.49
28.46	9.55	27.58	18.39
28.35	9.79	28.32	18.71
28.88	10.26	28.75	19.22
29.69	11.2	29.73	18.99
30.3	10.96	29.59	19.48
30	11.1	29.63	19.98
29.76	10.99	29.23	19.32
29.88	11.38	29.96	19.76
29.97	11.77	29.99	20.01
30.81	11.81	30.15	20.39
30.3	11.3	30.34	20.31
30.35	12.05	30.46	21.14
31.76	11.96	31.74	21.09
32.78	13	32.66	21.41
33.05	13.47	33.45	21.92
34.44	13.59	34.22	22.76
34.68	13.67	34.55	22.77
34.89	13.92	34.35	22.64
35.96	14.67	34.85	23.63
35.8	14.48	35.37	23.27
36.98	15.05	36.54	24.05
37.04	15.53	36.4	24.48
37.73	16.19	36.86	24.63
38.38	15.96	37.83	25.67
38.1	16.85	38.39	25.71
39.16	16.93	38.35	26.02
39.71	18.04	39.05	26.3
40.23	17.69	39.74	27.24
41.11	18.09	40.55	27.78
41.9	18.9	41.01	27.99
42.43	18.49	40.9	28.23
43.16	19.46	41.59	28.73
43.2	19.87	41.85	28.49
