"Wavelength_A__P_"	"Impatiens_glandulifera_A__Er_1"	"Impatiens_glandulifera_A__Lr_2"	"Impatiens_glandulifera_A__Lr_3"	"Impatiens_glandulifera_A__Lr_4"	"Impatiens_glandulifera_A__Er_5"	"Cirsium_arvense_A__P_1"	"Convolvulus_sepium_A__P_1"	"Convolvulus_sepium_A__P_2"	"Convolvulus_sepium_A__P_3"	"Convolvulus_sepium_A__P_4"	"Rubus_caesius_A__P_1"	"Rubus_caesius_A__P_2"	"Saponaria_officinalis_A__P_1"	"Trifolium_repens_A__P_1"	"Trifolium_repens_A__P_2"
219.765	15.28	2.15	10.24	10.18	-13.93	-0.43	54.21	28.18	26.72	24.74	3.23	4.5	68.13	-1.46	23.36
220.146	25.77	12.68	14.55	13.09	9.63	-5.09	48.29	27.8	34.43	27.02	12	5.04	64.24	-1.47	27.81
220.527	7.46	8.58	13.12	8.51	-5.54	-3.35	41.64	20.17	27.75	24.15	7.4	11.61	52.83	5.09	19.78
220.908	14.99	7.14	11.89	17.86	10.63	-1.48	38.7	23.59	29.23	24.34	7.83	14.61	52	1.77	25.07
221.288	15.48	14.07	13.11	12.32	3.66	2.95	42.23	20.01	28.6	21.75	13.69	9.31	49.69	1.53	21.54
221.669	25.15	17.58	9.53	12.2	4.29	0.63	39.95	16.84	27.1	23.78	2.03	0.16	46.75	-1.13	22.12
222.05	19.72	15.99	20.88	17.88	13.65	7.67	43.49	23.01	31.77	29.72	12.5	11.12	44.21	5.52	27.07
222.431	20.13	11.84	10.11	13.08	3.74	1.91	38	20.73	21.79	18.34	6.05	8.39	42.63	1.25	16.8
222.811	8.61	-1.85	-4.05	1.81	-8.77	-10.9	37.97	11.32	20.28	11.43	-5.32	2.19	43.75	-16.27	15.06
223.192	13.8	8.09	9	9.9	-3.23	-0.65	34.4	20.14	20.35	15.7	1.34	9.44	43.23	1.86	15.23
223.573	25.15	15.89	12.89	17.17	6.47	7.04	42.81	21.42	29.91	21.6	10.99	13.68	43.9	10.99	21.92
223.953	8.59	5.1	4.92	5.97	-4.35	-4.88	27.97	7.41	14.33	13.51	-1.03	3.32	30.64	-6.34	7.54
224.334	18.1	10.59	14.25	15.17	11.64	8.92	35.58	16.61	23.98	21.77	12.69	11.62	36.53	4.07	20.1
224.714	16.39	6.07	12.02	11.64	3.82	8.25	35.55	16.37	19.45	16.58	6.57	10.91	33.71	3.38	13.03
225.095	18.18	12.54	12.45	17.06	8.06	5.53	32.51	17.2	21.79	22.84	10.03	11.72	33.8	3.77	15.47
225.475	15.9	12.09	12.86	13.72	6.41	8.44	28.48	14.96	20.92	17.99	8.77	8.33	31.72	5.73	14.23
225.856	11.15	4.46	5.58	8.68	0.46	3.68	27.19	13.53	14.45	11.9	5.41	6.68	22.2	0.23	11.16
226.236	12.25	6.83	9.01	7.24	2.67	3.13	23.73	8.7	13.12	10.48	3.58	5.32	24.47	-0.89	8.7
226.617	12.01	6.23	7.27	9.69	2.43	5.73	21.21	9.87	11.91	11.87	3.64	6.85	19.47	4.63	8.53
226.997	10.38	6.2	7.38	9.29	3.08	3.6	17.89	8.36	10.25	9.8	6.23	6.37	17.37	3.06	7.95
227.377	7.94	5.03	3.91	6.4	0.59	1.97	16.38	4.86	4.96	6.83	4.08	3.35	12.94	-1.1	4.97
227.757	6.52	5.27	3.85	5.64	0.96	1.52	12.34	3.27	4.39	6.07	2.59	3.52	9.07	1.14	3.25
228.138	6.15	3.14	3.04	4.41	0.14	0.54	11.88	1.77	3.03	4.49	2.12	2.76	6.02	0.45	1.69
228.518	7.37	3.56	3.74	5.04	1.3	1.3	11.53	2.54	3.29	4.89	2.38	3.54	6.78	1.15	2.36
228.898	7.04	3.46	3.77	5.54	0.9	1.07	11.38	2.08	2.89	4.54	2.8	3.3	6.09	0.95	1.08
229.278	6.99	3.16	3.75	5.56	0.52	0.84	12.78	1.75	2.44	4.19	2.63	3	6.45	0.46	1.3
229.658	9.98	5.45	5.51	8.32	2.39	2.86	16.28	4.21	4.62	6.59	3.97	4.81	9.83	2.85	3.64
230.038	7.97	4.57	3.94	6.5	0.54	0.23	14.98	2.33	3.91	5.76	2.32	2.75	8.2	0.2	2.44
230.418	9.37	4.86	4.78	7.14	1.74	1.49	15.41	4.1	5.72	6.88	3.96	4.5	11	1.91	3.95
230.798	9.35	4.49	4.87	7.72	2.5	2.17	15.85	4.08	5.22	6.26	3.11	4.45	10.34	1.58	3.9
231.178	9.44	6.14	6.78	8.3	3.45	3.44	16.68	5.2	6.21	8.13	4.43	5.95	11.3	2.32	4.05
231.558	8.81	4.59	3.13	6.27	-0.91	-0.07	14.96	2.46	3.42	4.9	2.39	3.73	9.93	-0.93	2.42
231.938	12.87	7.33	7.14	9.55	3.66	3.67	20.58	6.46	9.17	10.37	5.52	5.83	14.24	4.26	5.38
232.318	11.95	6.61	6.03	8.36	1.98	2.36	19	5.14	7.86	9.07	6.11	5.46	12.97	3.73	4.95
232.697	11.18	6.73	5.61	8.44	2.58	1.92	19.42	6.23	7.15	9.36	5.35	6.29	14.21	2.97	6.5
233.077	8.26	3.53	4.28	6.2	0.68	0.55	16.19	3.58	5.16	4.95	3	3.56	10.42	0.02	3.53
233.457	10.15	5.26	5.87	8.39	2.87	2.87	16.11	5.7	6.04	7.53	4.12	5.09	10.97	2.62	3.96
233.836	7.73	3.28	3.83	5.14	-0.02	-0.13	13.97	2.45	3.37	4.3	1.6	2.52	7.21	0.43	1.75
234.216	9.01	4.83	4.97	6.38	0.92	1.11	14.63	2.88	3.77	6.2	3.67	4.04	9.41	0.6	2.69
234.596	11.39	5.96	6.49	9.33	2.36	2.36	17.64	4.83	5.88	7.59	4.63	5.78	11.73	2.32	4.07
234.975	9.64	5.71	4.54	7.55	0.33	0.75	16.79	2.73	4.59	6.53	3.75	4.68	9.75	1.56	2.64
235.355	12.07	5.76	5.86	7.56	2.42	2.42	17.07	5.19	6	7.5	4.94	4.9	11.2	2.24	4.36
235.734	9.47	4.49	3.55	7.14	0.95	0.98	15.54	2.74	4.24	5.84	2.44	4.15	10.4	0.34	2.53
236.114	10.84	5.25	5.24	8.06	2.84	2.11	16.75	4.92	5.18	7.16	4.52	5.12	10.72	1.93	3.54
236.493	10.12	5.02	5.25	8.41	0.66	1	16.14	3.89	5.02	5.96	3.18	4.14	10.08	1.73	2.29
236.873	9.49	5.32	4.28	6.94	1.05	0.98	16.81	2.94	4.49	6.09	3	4.4	10.96	0.77	2.12
237.252	10.53	4.86	4.49	7.19	0.77	0.95	16.37	3.29	4.26	6.12	3.97	3.74	10.45	1.43	3.32
237.631	9.69	3.98	5.11	6.28	0.47	0.23	15.06	2.82	4.41	5.18	3.31	2.88	9.81	-0.86	2.55
238.01	10.99	5.59	6.51	7.77	1.75	1.35	16.45	4.6	5.52	7.09	4.85	4.35	11.11	1.89	3.85
238.39	9.64	4.27	4.43	8.01	0.5	0.86	16.22	3.35	3.62	6.01	3.21	4.07	10.11	0.93	3
238.769	10.46	5.52	5.42	8.44	1.58	1.79	16.32	3.67	4.95	6.83	3.5	4.77	10.51	1.93	2.92
239.148	9.02	3.62	4.46	6.67	0.23	0.16	13.83	2.39	3.06	5.18	2.62	3.44	8.35	0.23	2.64
239.527	9.81	5.16	5.52	7.21	1.92	1.88	14.99	2.87	3.75	5.79	3.91	4.44	8.24	1.92	2.36
239.906	9.52	4.98	5.21	7.58	1.13	1.31	14.09	2.72	4.39	5.49	3.56	4.2	7.61	1.61	1.93
240.285	9.16	4.06	4.39	6.5	1	1.55	13.47	2.05	3.4	4.98	3.08	4.01	6.72	0.91	1.14
240.664	8.98	4.18	4.42	6.45	1.17	1.24	12.64	2.02	2.29	4.42	2.63	3.28	6.34	0.97	1.36
241.043	8.82	4.05	4.56	6.03	0.96	0.71	12.44	1.59	1.92	4.51	2.79	3.9	5.46	1.22	1.25
241.422	9.29	4.71	4.81	6.54	1.59	1.43	12.29	2.12	2.64	4.99	3.23	4.21	6.02	1.85	1.46
241.801	8.52	3.74	3.78	5.99	0.78	0.71	11.69	1.17	1.62	4	2.78	3.43	4.82	1.06	0.58
242.18	9.1	4.12	4.41	6.13	1	0.88	11.96	1.23	1.8	4.29	2.8	3.67	4.77	1.02	0.49
242.559	10.23	5.03	5.23	7.18	1.69	1.77	13.52	1.88	2.68	5.23	3.85	4.77	6.03	1.77	1.35
242.938	10.57	4.88	5.39	7.71	1.66	1.35	14.63	1.8	2.47	5.32	3.54	4.64	6.07	1.44	1.1
243.316	11.48	5.37	5.86	8.5	2.03	1.81	15.66	2.11	2.99	6.13	3.92	5.14	7	1.82	1.72
243.695	11.68	5.83	6.53	8.96	2.17	2.18	16.78	2.74	3.76	6.5	4.56	5.13	8.19	2.3	2.19
244.074	11.39	5.45	6.21	8.31	1.55	1.72	15.74	2.94	3.64	6.13	3.99	5.01	8.15	2.09	2.66
244.452	10.54	5.3	5.38	7.69	1.19	1.02	14.75	2.29	3.21	5.37	3.7	4.24	7.54	1.16	1.77
244.831	9.87	4.81	4.7	6.88	1.36	0.92	13.31	2.52	2.74	5.08	3.34	3.54	6.61	1.3	1.45
245.21	9.27	4.66	4.57	6.66	1.14	1.29	12.98	2.07	2.6	5	3.2	3.83	6.1	1.27	1.4
245.588	8.88	4.32	4.22	6.01	1.3	1.15	11.66	1.58	2.22	4.47	2.93	3.73	5.47	1.62	1.04
245.967	8.45	4.21	4.14	5.88	1.26	1.17	11.07	1.31	1.76	3.93	2.68	3.63	4.7	1.2	0.96
246.345	8.28	3.81	3.99	5.72	1.09	0.96	10.48	1.08	1.63	3.59	2.6	3.34	4	1.16	0.54
246.723	8.8	4.15	4.23	6.14	1.16	1.16	11.17	1.13	1.6	3.91	2.84	3.62	4.27	1.37	0.46
247.102	9.76	4.32	4.57	6.41	1.14	1.17	12.14	1.22	1.58	4.15	3.05	3.9	4.47	1.26	0.5
247.48	10.59	4.9	4.93	7.03	1.07	1.23	13.63	1.13	1.57	4.65	3.32	4.09	5.08	1.46	0.38
247.859	10.89	5.01	5.27	7.2	1.26	1.21	13.9	1.24	1.82	4.89	3.39	4.1	5.25	1.4	0.52
248.237	10.78	5.11	5.2	7.16	1.4	1.38	13.84	1.52	2	4.96	3.43	4.28	5.81	1.78	0.85
248.615	11	5.1	5.28	7.3	1.31	1.42	14.09	1.8	2.34	5.22	3.73	4.39	5.91	1.73	1.08
248.993	11.42	5.55	5.54	7.83	1.38	1.56	15.05	1.57	2.42	5.32	3.71	4.59	6.7	1.62	1.11
249.371	12.15	5.62	5.96	8.14	1.77	1.56	15.64	2.56	2.78	5.98	3.99	4.89	7.42	1.64	1.64
249.75	12.13	6.27	6.96	9.09	2.42	2.48	16.47	3.03	3.99	6.71	4.59	5.43	8.82	2.07	2.62
250.128	11.15	5.59	5.73	7.71	1.74	2.08	15.26	2.88	3.35	6.47	3.74	5.26	7.86	2.25	2.2
250.506	10.24	4.54	4.63	6.77	1.24	1.08	13.66	1.94	2.5	4.95	2.77	3.94	6.94	0.8	0.92
250.884	10.36	5.13	5.25	7.02	1.87	1.98	14.06	2.25	3.39	5.15	3.82	4.55	7.07	1.62	1.66
251.262	9.68	4.18	4.26	6.21	0.99	0.79	12.09	1.91	1.95	4.62	2.88	3.52	5.6	1.11	0.91
251.64	9.63	4.54	4.38	6.23	1.02	1.03	12.22	1.41	2.25	4.5	3.04	3.97	5.75	1.26	0.98
252.018	9.95	4.57	4.94	6.87	1.09	1.08	12.85	1.53	2.1	4.59	3.21	4.18	5.61	1.32	0.85
252.395	11.14	5.23	5.5	7.34	1.4	1.22	14.15	1.59	2.41	5.15	3.46	4.37	6.37	1.56	0.96
252.773	11.82	5.28	5.72	7.61	1.1	0.94	15.44	1.6	2.3	5.61	3.57	4.9	6.89	0.99	0.52
253.151	12.89	6.71	6.15	8.85	2.61	2.43	16.78	3.37	4.06	6.79	4.69	5.76	8.46	2.37	2.38
253.529	11.72	5.81	5.33	8.26	1.3	1.48	15.8	2.76	3.22	6.06	3.8	4.47	8.46	1.62	1.73
