"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
54.86	50.3	54.53	62.74	56.95	60.51	38.12	43.18	12.27	13.42	46.24	31.53	53.79	74.45	43.43	73.1	41.25	43.69	58.93	56.14	81.9	22.68	11.67	127.16	23.86	33.72	64.51	52.62	38.16	55.8	80.37	47.42	42.21	40.61	67.55	7.25	114.76	62.52	79.72	54.01	20.18	54.36	60.7	68.22	65.67	37.49
53.13	49.42	50.8	60.79	55.76	59.1	39.34	41.34	14.09	14.23	45	28.5	52.76	76.12	39.77	70.32	40.98	46.78	62.44	57.23	78.55	17.2	9.41	124.39	23.54	29.01	63.02	54.96	36.45	57	79.5	48.14	43.24	42.57	66.97	7.12	118.25	57.55	79.51	52.31	18.89	55.61	60.39	67.61	66.47	39
58.48	54.21	57.48	66.02	59.85	66.24	41.58	46.61	15.87	15.26	45.42	34.42	58.04	80.31	46.25	73.76	43.12	51.67	66.75	56.9	86.45	23.71	12.78	131.1	23.5	36.34	70.46	58.3	40.37	62.03	86.73	46.55	46.65	47.59	69.99	9.16	119.6	66.15	83.73	55.7	20.53	61.93	63.41	72.35	69.21	44.57
53.82	48.4	55.54	62.71	57.04	57.24	37.57	39.99	11.08	13.19	47.38	29.37	54.99	73.38	46.07	72.85	41.62	48.89	61.25	56.29	79.02	19.29	12.41	120.71	24.51	34.01	63.28	55.35	39.91	59.34	80.33	47.75	43.13	43.06	64.35	7	115.68	60.16	82.39	52.02	20.47	59.26	64.67	68.58	68.19	37.37
55.22	50.71	59.67	67.09	54.3	61.24	37.94	44.65	11.89	10.14	48.11	28.84	51.84	80.77	41.86	74.87	42.56	49.15	63.98	56.65	87.47	17.75	7.7	132.05	20.99	29.2	66.36	60.2	38.29	58.3	86.96	50.8	43.26	43.06	67.94	6.66	125.06	66.04	82.71	54.37	18.48	60.28	64.42	71.6	69.37	40.93
54.82	49.29	56.95	64	59.7	61.89	38.04	41.91	10.2	12.54	48	29.71	57.29	73.71	41.03	69.85	40.87	46.87	62.02	56.53	84.16	17.23	8.4	128.2	21.86	30.22	66.29	52.88	36.04	58.81	83.5	44.7	45.88	45.04	66.05	8.22	118.55	64.77	82.43	58	19.68	59.8	61.1	69.67	69.83	39.27
53.94	50.47	56.35	65.24	55.13	59.03	35.28	43.18	12.66	13.07	46.41	27.08	54.94	75.89	43.63	74.94	43.49	47.06	62.26	57.33	86.96	17.88	6.45	128.76	20.98	35.15	63.24	56.01	37.51	58.84	86.33	46.16	42.64	39.8	68.04	1.64	123.32	64.75	81.92	51.22	15.84	59.21	63.39	69.43	68.3	39.33
56.13	48.32	53.17	60.35	55.66	56.98	35.28	42.85	12.71	10.05	46.23	28.64	55.53	72.25	40.33	74.09	39.2	49.17	59.43	56.34	81.77	17.34	9.32	122.93	22.47	32.17	66.59	57.77	37.59	55.98	84.5	43.67	43.31	39	67.78	3.96	119.89	61.97	80.12	56.79	19.65	56.94	60.08	65.7	69.19	39.92
54.19	49.09	53.5	63.57	57.3	56.24	36.19	45.32	11.65	12.47	44.51	31.26	50.87	73.45	38.61	71.44	42.62	47.66	61.37	51.01	82.81	19.47	13.85	118.21	23.64	27.74	64.2	54.8	35.79	53.39	79.46	45.94	40.96	39.84	63.69	6.41	113.66	62.88	77.25	52.41	19.46	56.85	61.52	71.62	69.28	36.09
50.93	52.63	58.77	67.3	54.25	59.11	39.68	42.05	14	14.44	47.27	29.61	50.62	73.62	39.68	72.31	44.53	44.67	61.46	54.71	87.53	17.79	9.31	128.92	22.78	32.22	65.8	54.74	37.14	60.72	82.9	43.63	42.9	40.93	63.32	6.26	119.02	67.41	80.37	57.08	21.25	57.1	62.01	69.05	68.15	39.62
