"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
17.5	38.92	18.3	26.88	49.25	38.52	22.04	31.1	13	18.1	29.72	17.01
20.41	37.98	18.2	24.07	47.03	36.14	21.18	28.65	15.42	20.89	29.93	14.52
18.01	31.66	15.68	21.46	45.96	36.89	17.1	30.06	9.5	16.26	27.79	12.43
17.03	30.49	15.54	19.78	48.51	36	19.55	27.84	14.03	17.63	24.75	15.37
17.02	28.65	14.7	19.36	45.67	30.54	19.82	30.66	9.88	16.09	23.55	13.39
14.88	22.52	12.48	14.96	41.99	27.82	15.98	24.73	9.46	12.9	18.95	10.15
11.07	16.03	8.66	10.56	41.83	22.08	16.12	22.41	8.19	10.66	14.51	8.6
10.56	14.24	8.65	9.49	41.58	21.39	16.15	20.74	7.06	9.53	12.5	7.33
9.88	11.65	7.78	7.21	41.14	20.43	15.55	19.9	6.33	8.76	12.29	7.25
8.14	10.28	6.58	6.22	39.05	18.77	13.86	18.89	5.97	8.1	11.27	5.61
8.22	10.32	6.77	6.41	40.25	18.91	13.87	19	5.67	8.7	10.66	5.79
8.71	11.95	6.8	7.47	41.96	19.7	15.8	20.18	6.48	8.94	11.3	5.91
10.3	13.78	8.29	9.52	41.15	21.49	15.57	20.2	7.1	9.89	13.28	7.3
9.99	13.76	8.36	8.87	41.6	20.79	16.13	21.02	7.13	9.57	13.24	6.9
9.87	13.21	7.56	7.58	39.55	21.6	14.47	19.49	6.84	8.81	12.28	7.17
10.31	12.97	7.89	7.84	40.01	21.14	15.2	20.49	6.67	8.88	11.87	6.47
10.5	13.79	9.6	9.46	39.68	20.05	15.08	20.81	7.34	9.32	13.33	6.87
11.21	14.64	8.37	9.69	40.89	21.89	16.21	21.82	7.76	9.62	13.78	8.07
11.24	17.07	10.5	11.63	42.14	22.62	16.89	21.44	8.38	11.55	15.1	8.26
10.87	15.74	9.14	10.59	39.89	22.16	16.21	20.93	7.69	10.23	13.9	8.7
10.74	15.3	9.7	8.85	39.77	20.81	16.09	22.02	6.86	9.13	13.19	8.08
10.15	12.5	8.74	8.52	39.19	20.28	15.03	20.39	7.55	9.98	12.12	7.22
9.42	11.79	7.84	7.78	39.06	19.47	15.31	19.38	6.45	8.84	12.15	6.48
9.42	11.64	7.53	7.21	37.96	18.72	14.47	19.19	6.52	8.48	11.89	6.68
9.04	11.15	6.84	6.63	38.11	19.04	13.85	18.68	5.74	8.05	10.99	5.68
9.07	11.64	7.64	6.91	38.44	18.48	14.55	18.46	5.81	8.52	10.87	6.03
9.22	11.13	7.8	6.57	37.49	19.29	14.45	19.46	5.99	8.45	11.48	5.89
10.02	11.03	7.41	7.07	38.1	19.44	14.51	19.08	6.35	9.01	11.11	6.21
9.38	11.26	7.46	7.05	37.92	19.01	14.87	19.14	6.36	8.36	10.91	6.1
9.43	11.39	7.61	7.37	36.86	18.56	14	18.84	5.92	8.58	11.24	6.06
9.9	11.79	7.75	6.81	38.16	19.17	14.49	19.4	5.89	8.28	11.7	6.09
9.9	10.85	7.97	7.14	38.01	19.25	14.93	19.4	6.39	8.2	11.22	5.83
9.77	11.04	7.55	6.91	38.12	18.56	15.21	18.69	5.52	8.38	11.7	6.54
