"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
4.78	3.15	1.08	0.48	1.44	4.9	1.34	6.34
4.41	3.04	1.05	0.54	1.25	4.73	1.06	6.21
4.69	2.98	1	0.7	1.43	4.84	1.3	6.19
5.05	3.16	1.3	0.64	1.52	5.05	1.32	6.14
4.79	3.05	1.03	0.63	1.38	5.04	1.58	6.04
4.81	3.11	1.2	0.68	1.46	5.19	1.37	6.23
4.43	2.95	0.95	0.56	1.16	4.97	1.35	6.25
4.61	3.19	1.21	0.79	1.34	4.94	1.51	6.34
4.37	2.95	0.75	0.44	1.1	4.6	1.2	5.89
4.23	2.74	0.91	0.56	1.15	4.61	1.08	5.75
4.08	2.76	0.75	0.36	0.79	4.4	0.87	5.69
4.35	2.86	0.95	0.34	0.94	4.77	1.05	6.03
4.18	2.8	0.8	0.51	0.85	4.42	0.93	5.98
4.48	2.91	1.05	0.64	1.13	4.86	1.3	5.91
4.43	2.99	0.89	0.49	1.3	4.96	1.34	6.16
4.65	3.03	0.85	0.34	1.26	4.77	0.99	6.15
4.68	3.26	1.11	0.58	1.58	5.27	1.27	6.28
4.59	3.2	1.2	0.86	1.79	4.89	1.52	5.95
4.57	3.08	1.24	0.78	1.58	5.15	1.34	6.39
4.7	3.21	1.26	0.83	1.59	5.18	1.65	6.38
4.66	2.91	0.99	0.54	0.91	4.85	1.29	6.06
4.54	3.08	1.22	0.66	1.24	5.07	1.71	6.48
4.84	3.02	1.28	0.84	1.69	5.24	1.55	6.28
4.73	2.84	1.31	0.76	1.39	5.06	1.34	6.36
4.49	2.93	1.03	0.41	1.49	4.81	1.32	6.08
4.48	2.92	1.16	0.35	1.47	5.29	1.5	6.13
4.77	3.46	1.13	1.02	1.33	5.33	1.58	6.68
4.66	2.94	1.01	0.75	1.38	5.13	1.42	6.46
4.87	3.37	1.44	0.83	1.69	5.28	1.53	6.64
4.65	2.62	0.98	0.51	1.3	4.75	1.25	6.2
4.51	2.92	0.77	0.47	1.29	4.86	1.3	6.32
4.88	2.96	1.36	0.68	1.41	5.24	1.39	6.64
4.41	2.85	1.09	0.42	1.28	4.96	1.29	6.19
4.71	2.89	1.17	0.8	1.29	4.81	1.5	6.48
4.41	2.93	0.96	0.64	1.32	5.07	1.28	6.27
4.31	2.66	0.94	0.52	0.96	4.79	1.13	5.99
4.55	2.83	1.13	0.77	1.29	4.8	1.3	6.22
4.06	2.48	0.62	0.29	0.84	4.51	0.77	5.92
4.39	2.43	0.84	0.49	0.96	4.73	0.82	5.94
4.81	2.88	1.05	0.66	1.12	4.9	1.18	6.31
4.41	2.8	0.95	0.34	1.14	4.49	1.01	6
4.5	2.96	0.79	0.7	1.26	5	1.29	6.53
4.56	2.96	1.26	0.54	1.13	4.89	1.22	6.25
4.14	2.75	0.85	0.42	0.8	4.54	1.19	6.13
4.21	2.65	0.65	0.43	0.92	4.59	0.9	5.99
4.12	2.88	0.71	0.3	0.87	4.35	0.95	6.03
4.09	2.78	0.81	0.41	0.86	4.46	0.96	5.91
4.06	2.58	0.57	0.25	0.74	4.45	0.82	5.93
4.2	2.68	0.78	0.41	0.75	4.46	0.84	6.16
4.25	2.67	0.88	0.43	0.72	4.65	0.88	5.82
4.31	2.86	0.73	0.57	1.13	4.86	1.04	6.05
4.59	2.69	0.72	0.2	0.93	4.63	0.87	6.12
4.33	3	0.95	0.47	1.12	4.85	1.18	6.52
4.59	2.97	1.18	0.6	1.26	4.88	1.45	6.58
4.28	2.83	1.05	0.55	1.08	4.7	1.35	6.42
4.36	2.75	0.9	0.34	1.2	4.78	1.14	6.34
4.4	2.94	0.83	0.43	0.95	4.62	1.18	6.29
4.3	2.95	0.9	0.61	1.04	4.71	1.13	6.39
4.29	2.9	0.8	0.52	0.94	4.56	1.12	6.32
4.07	2.66	0.88	0.45	0.88	4.86	1.04	6.24
4.54	3.18	1.07	0.59	1.01	4.75	1.14	6.37
4.47	3	0.62	0.38	1.18	4.89	1.15	6.18
4.5	2.94	0.69	0.64	1.01	4.84	1.19	6.37
4.78	3	1.02	0.5	1.17	4.92	1.2	6.51
4.82	3.06	1.17	0.55	1.18	4.99	1.26	6.46
4.54	2.98	0.69	0.15	1.23	4.74	0.9	6.35
4.64	2.77	1.15	0.32	1.38	4.94	1.13	6.54
4.84	2.93	1.12	0.45	1.45	5.19	1.52	6.68
4.46	2.8	0.95	0.39	1.31	4.92	1.12	6.5
4.45	2.78	0.84	0.58	1.32	4.98	1.55	6.76
4.61	2.74	0.71	0.5	0.84	4.89	0.95	6.47
4.84	2.99	0.96	0.53	1	4.87	1.28	6.55
4.6	2.77	0.87	0.46	1.03	4.57	1.2	6.55
4.71	2.9	0.88	0.58	1.09	4.95	1.22	6.54
4.47	2.76	0.68	0.45	0.92	4.67	1.1	6.47
4.61	2.76	0.74	0.43	0.84	4.74	1.11	6.39
4.45	2.59	0.61	0.49	0.77	4.48	0.96	6.28
4.52	2.67	0.63	0.4	0.73	4.59	0.82	6.34
4.6	2.99	0.84	0.53	0.84	4.66	1	6.56
4.77	2.65	0.62	0.3	0.63	4.61	0.79	6.17
4.91	2.96	0.9	0.55	1.02	4.77	1.02	6.68
4.82	2.79	0.79	0.14	0.79	4.67	0.99	6.48
5.08	3.05	0.78	0.52	0.99	4.86	0.97	6.76
5.06	2.83	0.83	0.37	1.18	4.91	0.82	6.65
5.1	2.82	0.82	0.39	0.9	4.89	1.08	6.73
5.17	2.9	0.81	0.56	1.47	4.79	1.52	6.64
