"Lamium_maculatum_J__La_1"	"Lamium_maculatum_J__La_2"
61.21	41.48
61.54	42.4
62.67	43.31
63.95	44.19
64.54	44.69
65.5	45.34
66.16	45.87
66.65	46.43
66.95	47.34
67.77	47.81
68.75	48.69
70.27	49.74
71.52	50.33
72.21	50.78
71.46	50.53
71.14	50.16
72.5	51.41
74.21	52.7
73.66	52.1
71.69	51.11
70.06	50.41
69.92	50.78
71.11	52.06
71.87	53.32
73	54.51
74.35	55.46
75.08	56.37
76.65	57.63
77.86	58.46
79.8	59.84
81.94	61.22
83.25	61.91
81.42	60.8
79.19	58.96
77.61	58.49
77.99	59.33
78.76	60.27
79.19	61.37
80.1	61.98
80.63	63.01
81.6	64
82.08	64.48
82.85	65.55
83.8	66.39
84.53	67.3
85.17	67.8
85.61	68.45
86.32	68.78
86.35	69.46
87.29	70.11
87.81	70.53
88.06	71.26
88.17	71.46
88.86	72.17
89.03	72.75
90.15	73.69
90.45	73.97
90.96	74.6
90.95	74.76
91.12	74.93
91.4	75.52
91.85	75.78
92.11	76.15
92.43	76.74
92.84	76.95
93.33	77.51
93.5	77.68
93.13	77.89
93.94	78.4
93.86	78.72
94.66	78.82
94.67	79.23
94.85	79.36
95.57	80.2
95.13	80.06
95.5	80.55
95.95	80.96
96.32	81.14
96.83	81.4
97.69	81.97
98.43	82.78
99.74	83.27
100.67	84.12
99.99	83.21
99.03	82.41
97.56	81.45
96.94	81.42
96.44	80.9
96.74	81.92
97.14	82.54
97.71	83.33
98.98	84.23
99.31	85.23
99.77	85.35
99.46	85.26
99.76	85.65
99.63	85.83
100.53	86.61
100.55	86.85
100.91	87.41
101.04	87.54
101.27	87.61
101.41	87.86
103.04	89.31
104.7	90
103.89	89
102.83	88.27
101.53	87.65
100.94	87.06
101.23	87.5
101.9	88.52
102.54	88.85
103.28	89.43
103.44	90.01
103.05	90.01
103.22	90.38
103.24	90.37
104.14	90.96
103.48	90.75
105.28	92.35
105.32	92.2
105.37	92.8
105.75	92.54
105.37	93.26
105.38	93.04
106.47	93.47
106.77	94.16
106.59	94.23
107.23	94.97
107.52	95.42
107.56	95.62
108.22	96.25
108.6	96.09
108.87	96.8
108.9	96.54
109.07	97.6
109.52	97.76
110.03	98.02
110.07	98.65
110.86	99.39
110.79	98.76
111.59	99.7
112.17	100.11
112.62	101.05
112.71	101.03
112.72	101.58
113.5	101.5
113.75	102.06
114.07	102.36
113.96	103.03
114.33	102.75
114.77	103.69
115.37	103.63
115.65	104.28
115.79	105.02
116.66	105.34
116.84	104.89
115.98	104.81
115.8	104.36
116.09	104.71
116.51	105.28
116.89	105.09
116.55	105.43
116.16	105.54
117.11	105.7
117.25	106.24
117.82	107.21
118.75	107.96
118.84	108.08
119.48	108.56
120.36	109.27
121.21	110.42
120.89	109.92
121.97	110.85
121.44	110.69
122.21	111.21
122.14	111.17
123.02	111.46
124.42	112.89
125.99	113.78
128.93	115.62
128.41	114.96
125.78	111.77
121.76	108.9
119	107.42
119.16	108.09
119.86	109.09
120.69	110.33
121.83	111.59
122.39	112.62
122.22	112.82
123.09	113.07
123.46	113.78
124.5	114.6
125.02	115.72
124.73	115.56
125.05	116.21
126.08	117.14
126.56	116.57
126.62	117.47
127.41	118.06
127.72	118.53
128.45	119.04
127.73	119.15
128.32	119.79
128.79	120.23
128.72	120.43
129.09	120.53
129.52	120.42
129.53	120.95
130.84	121.79
131.29	122.13
130.03	120.14
129.49	119.24
128.32	118.92
129	119.59
128.7	120.15
129.14	120.78
129.45	121.48
130.47	121.54
130.68	122.59
130.37	121.68
131.47	122.89
130.8	122.56
131.15	122.58
132.24	123.33
131.84	123.85
131.62	124
131.16	124.41
132.26	124.13
132.24	123.83
132.03	123.73
132.03	123.77
132.14	123.61
133.37	125.32
133.17	125.25
133.21	124.28
134.03	125.87
133.67	125.9
135.44	125.96
134.45	125.99
135	126.11
135.66	125.87
135.27	126.42
137.91	127.29
137.48	126.61
136.27	125.76
133.85	123.11
131.26	121.93
132.61	123.17
132.07	122.64
132.91	124.95
133.81	125.77
135.11	127.01
134.9	127.62
134.87	127.62
134.33	127.07
134.7	129.22
134.75	128.18
135.85	128.86
135.68	128.88
136.36	129.33
136.38	128.44
136.89	130.02
137.14	130.39
137.18	130.66
138.52	131.8
139.66	131.72
139.83	133.18
139.91	133.13
139.52	132.23
138.05	132.03
138.49	131.94
138.81	132.56
138.56	131.11
138.52	131.61
138.37	131.23
137.75	130.73
137.39	129.78
136.66	129.73
136.16	128.15
136.04	129.03
135.35	128.32
134.95	128.66
136.81	129.56
136.7	128.52
137.92	129.91
136.94	128.77
137.61	129.46
137.21	128.58
137.36	129.16
136.47	129.31
137.86	130.3
136.99	128.53
137.19	129.21
136.79	128.87
137.89	129.55
138.95	130.13
139.57	130.27
140.96	131.12
143.44	133.63
145.9	134.23
145.92	135.03
142.17	129.78
135.86	124.23
130.91	120.85
129.8	120.08
129.97	120.64
130.71	121.35
131.41	122.38
131.6	123.01
132.01	123.92
131.93	123.22
132.52	123.98
134.94	125.89
134.18	125.47
133.46	124.9
134.57	126.01
134.81	125.72
134.44	125.64
134.2	126.45
134.67	126.47
135.52	126.89
136.19	127.42
134.32	125.93
135.93	128.05
136.75	127.26
136.6	127.32
136.28	127.85
135.39	127.21
136.32	127.83
136.06	127.47
135.92	126.2
134.88	126.38
134.57	125.96
135.32	126.99
135.59	127.08
135.59	126.91
136.37	128.67
136.99	128.84
136.62	129.42
137.62	129.27
137.78	131.2
138.62	130.91
136.61	129.7
137.62	129.67
135.68	128.32
135.07	127.98
135.68	127.86
135.54	127.46
135.81	127.1
135.45	126.72
135.79	126.86
135.1	125.56
135.31	126.58
136.75	127.18
137.06	126.73
134.9	124.57
135.42	124.36
133.05	123.33
133.08	124.11
133.7	123.99
134.45	124.54
134.69	124.96
134.89	125.88
134.4	124.52
134.11	124.73
134.93	125.89
135.67	126.11
135.65	126.29
134.87	126
135.24	125.77
133.64	124.48
134.18	124.84
132.64	122.61
132.93	123.27
132.63	122.7
132.79	123.13
133.32	123.02
134.42	124.98
133.93	124.95
133.57	124.57
134.99	125.77
136.44	125.98
134.77	124.81
134.73	125.23
135.24	124.94
133.61	125.29
134.28	125.1
135.82	125.79
134.98	125.53
135.61	125.1
136.65	127.72
137.98	126.95
137.42	127.93
134.18	125.31
134.93	125.18
135.9	126.07
136.52	126.18
135.91	124.8
135.79	125.35
