"Clinopodium_vulgare_L__P_1"	"Clinopodium_vulgare_L__P_2"	"Clinopodium_vulgare_L__P_3"	"Clinopodium_vulgare_L__P_4"	"Hypericum_perforatum_L__P_1"	"Hypericum_perforatum_L__P_2"	"Hypericum_perforatum_L__P_3"	"Hypericum_perforatum_L__P_4"	"Galium_verum_L__P_1"	"Galium_verum_L__P_2"	"Trifolium_pratense_L__P_1"	"Trifolium_pratense_L__P_2"	"Trifolium_pratense_L__P_3"	"Leucanthemum_vulgare_L__P_1"	"Leucanthemum_vulgare_L__P_2"	"Leucanthemum_vulgare_L__P_3"	"Leucanthemum_vulgare_L__P_4"	"Leucanthemum_vulgare_L__P_5"	"Achillea_millefolium_L__P_1"	"Achillea_millefolium_L__P_2"	"Achillea_millefolium_L__P_3"	"Ranunculus_repens_L__P_1"	"Jasione_montana_L__P_1"	"Jasione_montana_L__P_2"	"Eupatorium_cannabinum_L__P_1"	"Eupatorium_cannabinum_L__P_2"	"Erica_tetralix_L__P_1"	"Erica_tetralix_L__P_2"	"Ulex_europaeus_L__P_1"	"Ulex_europaeus_L__P_2"	"Achillea_millefolium_L__P_4"	"Achillea_millefolium_L__P_5"	"Reynoutria_japonica_L__P_1"	"Reynoutria_japonica_L__P_2"	"Reynoutria_japonica_L__P_3"	"Reynoutria_japonica_L__P_4"	"Reynoutria_japonica_L__P_5"	"Reynoutria_japonica_L__P_6"	"Reynoutria_japonica_L__P_7"	"Reynoutria_japonica_L__P_8"	"Reynoutria_japonica_L__P_9"	"Reynoutria_japonica_L__P_10"	"Reynoutria_japonica_L__P_11"	"Thymus_praecox_L__P_1"	"Thymus_praecox_L__P_2"	"Trifolium_pratense_L__P_4"	"Trifolium_pratense_L__P_5"	"Centaurea_nigra_L__P_1"	"Centaurea_nigra_L__P_2"	"Centaurea_nigra_L__P_3"	"Centaurea_nigra_L__P_4"	"Rhinanthus_angustifolius_L__P_1"	"Rhinanthus_angustifolius_L__P_2"	"Prunella_vulgaris_L__P_1"
48.35	72.87	27.42	51.38	19.49	46.28	1.03	42.74	46.93	46.74	42.6	4.06	83.41	42.74	50.09	83.97	64.76	29.63	32.72	70.44	64.14	38	32.29	13.57	26.88	44.08	57.06	29.63	56.93	46.89	13.17	14.84	21.15	5.98	22.9	12.91	15.04	71.97	35.53	33.19	32.74	0.8	45.96	57.81	22.99	22.67	23.51	28.49	47.88	21.34	9.94	2.01	38.56	21.9
44.76	70.93	7.64	46.28	9.87	37.65	-3.13	47.65	50.15	56.84	46.58	8.89	86.07	38.72	59.26	91.83	66.52	46.87	43.12	65.54	67.68	37.66	34.17	18.5	27.79	46.79	46.6	35.82	52.91	46.88	10.8	24.01	23.64	2.3	16.77	4.7	11.51	58.91	39.05	28.52	33.55	0.31	49.93	53.68	13.92	12.93	23.42	28.6	49.7	27.34	27.67	6.96	35.5	23.43
38.7	76.21	21.2	48.31	13.07	45.72	-2.3	42.76	42.61	53.58	37.33	6.37	91.28	41.26	55.27	71.38	62.29	38.45	37.76	67.31	57.99	39.08	42.18	23.57	23.16	37.11	54.6	28.4	57.01	53.17	19.72	18.89	23.55	5.7	13.3	5.39	22.63	53.54	37.98	22.6	28.43	9.52	38.38	45.49	12.91	22.82	27.08	17.76	40.64	36.54	13.88	13.34	33.51	18.94
44.55	75.1	17.88	55.43	16.79	45.8	7.36	52.41	52.18	58.81	51.02	18.16	88.75	56.22	56.29	82.93	70.36	43.59	44.72	67.23	70.34	44.78	46.69	38.29	37.25	51.99	61.8	36.16	61.84	60.06	22.1	35.11	25.93	21.13	30	16.31	13.3	71.03	38.7	30.04	42.68	21.79	45.51	52.29	31.67	35.72	30.33	29.63	59.79	41.05	26.7	21.25	41.34	26.3
37.21	72.02	22.87	46.53	19.41	39.84	3.9	46.68	48.1	50.23	47.96	18.44	82.25	39.48	43.54	74.66	72.03	28.99	22.96	58.72	62.47	38.28	41.93	19.3	24.34	37.71	61.57	27.67	62.11	39.36	9.05	25.58	16.05	15.17	11.94	8.46	12.43	59.55	36.38	17.04	38.31	6.24	38.62	53.19	15.43	22.65	20.4	22.75	37.83	32.3	11.72	13.39	29.62	15.94
48.51	80.23	18.42	67.5	12.02	40.18	10.54	50.43	51.55	55.72	41.29	12.47	86.95	43.92	50.69	73.02	64.81	30.16	34.04	57.82	60.5	30.76	33.68	19.79	24.06	44.74	50.82	37.36	64.41	50.31	17.5	29.55	19.26	18.6	10.89	12.78	3.69	75.99	35.65	25.42	33.54	-2.03	36.52	52.78	13.3	27.2	25.48	21.81	50.79	30.67	15.12	11.88	37.58	9.71
37.8	66.36	17.51	53.47	9	35.98	3.77	40.34	40.35	46.43	36.61	3.91	83.01	41.34	60.2	81.89	50.29	28.9	32.51	62.01	57.09	27.19	34.03	11.66	13.17	29.9	55.31	32.59	53.11	41.75	7.38	19.64	10.74	-1.62	15.18	3.33	-1.89	58.69	29.36	29.42	35.58	0.12	37.81	52.06	10.07	17.99	15.1	11.98	43.87	21.98	3.36	7.86	28.59	6.58
38.85	71.92	18.51	55.68	9.61	41.81	-0.08	45.41	46.08	52.01	33.53	12.11	95.11	47.98	59.39	92.25	58.37	34.38	37.29	68.83	73.56	28.42	38.6	22.73	18.65	40.01	54.47	35.95	53.44	50.92	18.04	25.19	19.89	18.68	25.06	15.05	19.84	56.01	32.57	19.06	29.45	11.43	44.56	54.71	20.51	18.79	20.85	17.23	51.46	31.64	15.41	16.66	33.35	22.18
47.5	69.67	16.91	42.29	15.08	40.07	-1.16	45.44	43.9	53.07	41.68	5.37	83.22	43.98	44.9	82.57	52.22	25.94	34.38	71.95	58.61	27.33	44.95	25.4	26.54	48.51	49.35	32.97	60.74	51.44	16.85	22.15	23.92	7.34	10.36	6.96	22.94	55.12	33.83	24.3	38.18	8.83	43.49	48.34	18.63	17.64	25.89	25.14	45.23	39.45	25.06	17.35	28.15	19.41
43.15	70.69	22.18	43.45	5.2	43.91	-8.89	42.92	47.5	49.64	34.06	10.06	86.61	40.51	56.82	80.69	64.65	35.2	28.83	64.26	57.38	28.12	29.51	17.77	28.54	48.76	50.31	37.36	48.37	45.56	13.83	24.57	11.79	8.03	23.31	4.41	24.43	66.59	37.89	21.11	23.76	0.89	44.88	39.6	4.59	23.25	19.95	20.67	46.91	20	9.96	7.82	32.66	17.2
34.84	67.23	17.66	38.97	7.3	31.55	-5.64	40.18	48.94	48.02	30.97	13.21	77	36.34	45.91	66.98	55.95	19.7	27.57	59.02	50.12	24.44	31.57	23.79	20.99	35.25	50.7	20.93	43.79	39.74	13.35	13.63	6.43	6.38	9.9	1.8	2.62	47.56	29.28	19.43	17.12	1.09	28.71	42.92	-0.97	13.85	14.08	16.39	34.07	23.29	1.58	3.73	28.58	13.11
37.73	55.98	7.18	45.9	15.25	37.79	-6.06	45.71	52.82	55.74	41.94	4.72	84.58	39.14	42.17	85.14	55.82	27.07	29.6	57.5	64.54	26.64	34.87	24.31	22.99	40.58	47.24	30.97	59.66	44.56	16.89	11.66	17.71	19.21	10.82	3.64	23.02	66.59	17.13	28.09	18.89	2.19	42.32	52.77	12.39	25.04	23.04	26.43	38.64	22.82	20.02	6.02	37.5	17.25
17.11	64.63	18.53	43.88	5.53	36.72	0.84	38.1	45.96	50.69	36.79	9.14	81.53	38.02	36.18	76.39	60.13	29.63	24.47	62.5	51.42	20.44	32.98	22.7	5.31	41.75	46.17	21.95	53.56	41.91	7.45	11.58	16.5	6.26	3.43	0.59	5.76	52.23	23.79	9.65	24.57	-1.64	39.75	43.15	8.95	12.05	13.54	21.75	37.28	22.02	18.57	8.98	17.07	18.9
36.36	61.72	24.34	56.06	3.45	41.1	10.07	49.33	58.32	45.34	51.86	13.85	75.17	45.98	48.4	63.04	65	30.34	26.3	49.82	56.16	28.15	38.15	20.04	21.98	35.97	49.23	29.72	49.27	45.17	13.05	14.33	22.05	19.82	18.73	11.09	19.9	51.46	33.39	32.82	29.75	11.96	37.3	53.35	3.21	26.16	21.08	17.9	44.05	28.93	23.2	9.25	31.55	18.05
