"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
25.22	34.27	48.92	39.43	5.79	7.15	44.44	26.27	19.74	32	30.34	39.72	24.87	56.71	29.38	60.17	29.63	52.81	63.66	56.81	62.76	36.9	54.89	56.61	10.91	44.29
24.22	35.72	47.58	33.29	8.56	17.72	47.67	9.92	9.45	50.7	37.56	43.64	33.54	64.08	28.18	50.17	29.03	67.03	83.66	67.82	62.56	51.66	40.23	79.46	28.39	48.44
17.22	36.87	33.55	28.98	13.81	10.1	38.95	26.31	10.65	33.23	29.26	21.74	25.46	45.75	21.34	40.16	29.68	49.81	71.26	42.66	55.93	37.14	35.4	57.36	6.77	30.36
21.91	43.85	47.89	41.69	28.39	14.65	48.51	32.99	15.21	45.66	41.16	37.56	34.48	48.74	32.08	63.5	39.95	51.62	75.21	57.9	79.4	38.88	38.64	60.31	12.34	49.07
25.65	45.71	52.31	42.75	15.42	19.69	57.14	32.73	24.8	41.64	54.07	39.65	39.98	51.49	42.07	64.4	47.41	61.24	78.79	62.04	77.45	41.73	46.95	58.19	25.93	44.42
36.49	44.87	57.13	34.24	13.08	9.79	36.11	21.59	27.97	45.33	38.03	29.97	36.2	57.62	26.26	49.28	27.81	49.99	69.57	49.02	66.67	41.58	52.43	67.69	13.78	42.74
27.64	36.37	50.02	19.34	6.31	-4	25.72	18.16	20.03	27.85	35.13	20.83	30.07	41.72	27.76	49.78	33.47	59.64	66.67	48.71	76.39	37.92	52.27	63.27	14.71	32.08
22.58	40.66	48.22	32.34	19.12	12.2	32.93	20.68	27.12	40.11	33.75	32.01	28.86	45.84	38.35	50.38	43.99	58.13	77.81	43.83	65.71	42.61	39.41	66.37	15.3	54.05
13.55	48.01	47.66	29.2	5.55	5.25	42.15	15.11	14.63	24.46	36.97	22.69	34.62	44.79	39.31	57.27	30.59	49.93	74.63	61.49	56.92	37.48	50.86	56.39	11.76	21.2
21.38	40.41	32.58	19.31	12.26	7.6	31.92	14.91	25.24	33.26	32	22.38	19.81	44.18	22.52	68.04	26	51.96	66.24	44.38	57.55	49.51	34.68	63.99	6.09	46.17
28.35	53.58	43.84	39.37	19.38	6.75	55.99	22.6	33.05	35.35	48.62	23.13	32.74	55.55	48.88	48	36.32	56.31	75.5	61.06	84.16	49.57	50.3	64.46	21.41	45.12
17.73	32.59	48.79	24.98	7.27	-9.69	30.07	14.88	6.77	33.35	46.71	39.53	12.55	45.6	17.34	55.81	22.17	54.82	65.52	61.21	53.95	38.52	33.08	49.35	3.58	24.83
